Qty,Value,MPN,Digi-key,Description
1,,QPC02SXGN-RC, S9337-ND,"CONN JUMPER SHORTING .100"" GOLD"
1,,61300311121,732-5316-ND,"3 Positions Header Connector 0.100"" (2.54mm) Through Hole"
1,,2047,1528-2164-ND,POTENTIOMETER KNOB - SOFT TOUCH
1,,P160KN-0QC15B100K,987-1300-ND,"100k Ohm Gang Linear Panel Mount Potentiometer None 1 Turn Conductive Plastic 0.2W, 1/5W PC Pins"
1,,NHD-0216K1Z-FSB-GBW-L,NHD-0216K1Z-FSB-GBW-L-ND,Character LCD Display Module Transflective 5 x 8 Dots STN - Super-Twisted Nematic LED - Blue Parallel 80.00mm x 36.00mm x 13.50mm
1,,ROB-09238,1568-1105-ND,Bipolar Stepper Motor 200 Step 0.33A 12VDC
1,,101-146,ED10501-ND,14 Position Rectangular Socket Connector IDC
1,,A165E-S-02,Z1428-ND,Pushbutton Switch DPST-NC Emergency Stop Panel Mount
6,,XHP-2,455-2266-ND,"2 Position Rectangular Housing Connector Receptacle Natural 0.098"" (2.50mm)"
3,,XHP-3,455-2219-ND,"3 Position Rectangular Housing Connector Receptacle Natural 0.098"" (2.50mm)"
18,,SXH-001T-P0.6,455-1135-1-ND,Contact Crimp Socket 22-28 AWG Tin
1,,1-640454-6,A106877-ND,"16 Positions Header Connector 0.100"" (2.54mm) Through Hole Tin"
1,,4-643814-6,A30966-ND,16 Position Rectangular Receptacle Connector IDC Tin 24 AWG
3,,RP3502ABLK,EG1900-ND,"Pushbutton Switch SPST-NO Standard Panel Mount, Front, Black"
1,,RP3502ARED,EG1930-ND,"Pushbutton Switch SPST-NO Standard Panel Mount, Front, Red"
1,,"17S,GY",SR17SG-ND,"Box Plastic, ABS Gray Split Sides and Slanted Top 6.880"" L x 4.880"" W (174.75mm x 123.95mm) X 2.490"" (63.25mm)"
1,,A000057,1050-1040-ND,ATmega32U4 Arduino Leonardo AVR® ATmega MCU 8-Bit AVR Embedded Evaluation Board
